rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note
1,PFG,Principal Financial Group,Financials,89.86,优先Call候选,115.610001,58.0,0.23,-0.01040014,0.04966408,0.01939861,75.1,61.1,72.6,80.96,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,缠论K线：杯柄/上升三角突破: 近2日放量突破整理高点；箱体宽 6.8%；量能 3.8x；趋势确认：日线EMA9/26/50转顺；MACD水上/柱体改善；RSI可交易区 57.8；extension 1.0ATR；4H确认：4H三线翻转确认；4H突破/第三买点确认；EMA 多头延续；MACD 保持多头
2,TSLA,"Tesla, Inc.",Consumer Discretionary,89.85,优先Call候选,365.230011,54.93,0.16,0.03706971,-0.00731138,0.11152372,50.8,76.59,72.7,80.96,30.0,100.0,mixed_sideways,fresh_bearish_cross,缠论K线：W底/圆弧底/头肩底修复: 前期回撤 -29.9%；低点后抬升 22.5%；10日反转 4.7%；处于60日中上修复区；近期量能抬升 1.2x；趋势确认：日线价格站回EMA26；MACD水上/柱体改善；RSI可交易区 54.9；extension 0.8ATR；4H确认：EMA26 已上穿 EMA50（11 根前）；4H突破/第三买点确认
3,RMBI,RICHMOND MUTUAL BANCORPORATION INC,Financials,89.59,优先Call候选,16.1,57.81,0.47,0.00656455,0.01866498,0.01737757,82.9,54.7,88.8,81.07,30.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,缠论K线：杯柄/上升三角突破: 近0日放量突破整理高点；箱体宽 9.2%；量能 1.8x；趋势确认：日线EMA9/26/50转顺；MACD水上/柱体改善；RSI可交易区 59.9；extension 1.1ATR；4H确认：4H三线翻转确认；4H突破/第三买点确认；EMA 多头延续；MACD 新金叉
4,SMP,STANDARD MOTOR PRODUCTS INC,Consumer Discretionary,89.12,优先Call候选,39.5625,56.63,0.2,-0.03764293,0.04745830,-0.03104340,75.1,58.33,64.9,81.07,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,缠论K线：杯柄/上升三角突破: 近1日放量突破整理高点；箱体宽 9.9%；量能 1.8x；趋势确认：日线EMA9/26/50转顺；MACD水上/柱体改善；RSI可交易区 54.8；extension 0.8ATR；4H确认：4H三线翻转确认；4H突破/第三买点确认；EMA 多头延续；MACD 保持多头
5,NVDA,Nvidia,Information Technology,89.03,优先Call候选,226.100006,56.02,0.1,-0.02015165,0.02363275,0.00946518,65.2,72.84,72.6,80.0,30.0,100.0,mixed_sideways,bullish_above_signal,缠论K线：杯柄/上升三角突破: 近1日放量突破整理高点；箱体宽 16.7%；量能 1.1x；趋势确认：日线EMA9/26/50转顺；MACD水上/柱体改善；RSI可交易区 56.4；extension 1.0ATR；4H确认：4H三线翻转确认；4H突破/第三买点确认；MACD 保持多头
6,NX,QUANEX BUILDING PRODUCTS CORP,Industrials,89.01,优先Call候选,22.264999,66.46,0.39,0.00383224,0.15842873,0.01204541,75.1,66.77,79.0,81.07,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,缠论K线：老鸭头/黄金坑洗盘: 先有上升颈部 15.1%；回踩靠近 EMA50/60 日线区域；EMA9/26/50 重新转顺；MACD 水上/改善；量能 1.3x；趋势确认：日线EMA9/26/50转顺；MACD水上/柱体改善；RSI可交易区 62.8；extension 2.0ATR；4H确认：4H三线翻转确认；4H突破/第三买点确认；EMA 多头延续；MACD 保持多头
7,NKTR,NEKTAR THERAPEUTICS,Health Care,88.59,优先Call候选,76.110001,58.07,0.32,0.02768030,0.06641443,-0.00470773,75.1,53.94,81.1,81.07,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,缠论K线：老鸭头/黄金坑洗盘: 先有上升颈部 19.5%；回踩靠近 EMA50/60 日线区域；EMA9/26/50 重新转顺；MACD 水上/改善；量能 1.0x；趋势确认：日线EMA9/26/50转顺；MACD水上/柱体改善；RSI可交易区 57.5；extension 0.9ATR；4H确认：4H三线翻转确认；4H突破/第三买点确认；EMA 多头延续；MACD 保持多头
8,MNSB,MAINSTREET BANCSHARES,Financials,88.45,优先Call候选,25.639999,62.09,1.04,0.01363902,0.02724359,0.06390037,82.9,61.45,100.0,81.07,68.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,缠论K线：杯柄/上升三角突破: 近0日放量突破整理高点；箱体宽 9.9%；量能 1.8x；趋势确认：日线EMA9/26/50转顺；MACD水上/柱体改善；RSI可交易区 60.9；extension 1.2ATR；4H确认：EMA26 贴近 EMA50 且斜率向上；4H突破/第三买点确认；EMA 多头延续；MACD 新金叉
9,ANDE,ANDERSONS INC,Consumer Staples,88.3,优先Call候选,70.480003,61.06,0.29,0.01578152,0.08673194,0.07767585,87.7,72.94,90.2,81.07,30.0,100.0,early_transition,bullish_above_signal,缠论K线：W底/圆弧底/头肩底修复: 前期回撤 -21.2%；低点后抬升 10.6%；10日反转 7.1%；处于60日中上修复区；近期量能抬升 1.5x；趋势确认：日线EMA9/26/50转顺；MACD水上/柱体改善；RSI可交易区 55.9；extension 0.9ATR；4H确认：4H三线翻转确认；4H突破/第三买点确认；EMA 早期转强；MACD 保持多头
10,MRX,MAREX GROUP LTD,Financials,88.02,优先Call候选,77.639999,64.09,0.33,0.00472335,0.07074882,0.27571472,75.1,66.34,90.2,80.0,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,缠论K线：杯柄/上升三角突破: 近0日放量突破整理高点；箱体宽 23.5%；量能 0.7x；趋势确认：日线EMA9/26/50转顺；MACD水上/柱体改善；RSI可交易区 68.0；extension 2.2ATR；4H确认：EMA26 贴近 EMA50 且斜率向上；4H突破/第三买点确认；EMA 多头延续；MACD 保持多头
