rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note
1,VRNS,VARONIS SYSTEMS,Information Technology,92.18,优先Call候选,46.09,60.27,1.3,-0.00184080,0.04952747,0.08549225,75.1,62.18,100.0,81.52,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,缠论K线：老鸭头/黄金坑洗盘: 先有上升颈部 41.9%；回踩靠近 EMA50/60 日线区域；EMA9/26/50 重新转顺；MACD 水上/改善；量能 1.3x；趋势确认：日线EMA9/26/50转顺；MACD水上/柱体改善；RSI可交易区 58.6；extension 1.2ATR；4H确认：4H三线翻转确认；4H突破/第三买点确认；EMA 多头延续；MACD 保持多头
2,PFG,Principal Financial Group,Financials,92.07,优先Call候选,116.68,62.98,1.12,-0.01726609,0.04730272,0.01100421,75.1,61.16,72.6,81.52,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,缠论K线：杯柄/上升三角突破: 近1日放量突破整理高点；箱体宽 6.8%；量能 3.8x；趋势确认：日线EMA9/26/50转顺；MACD水上/柱体改善；RSI可交易区 61.0；extension 1.5ATR；4H确认：4H三线翻转确认；4H突破/第三买点确认；EMA 多头延续；MACD 保持多头
3,ASND,Ascendis Pharma A/S - Ordinary Share,,91.91,优先Call候选,270.559998,66.17,1.94,-0.00315020,0.09074781,0.08301974,75.1,62.41,90.2,81.52,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,缠论K线：老鸭头/黄金坑洗盘: 先有上升颈部 20.8%；回踩靠近 EMA50/60 日线区域；EMA9/26/50 重新转顺；MACD 水上/改善；量能 1.4x；趋势确认：日线EMA9/26/50转顺；MACD水上/柱体改善；RSI可交易区 65.0；extension 1.7ATR；4H确认：4H三线翻转确认；4H突破/第三买点确认；EMA 多头延续；MACD 保持多头
4,CEG,Constellation Energy,Utilities,91.42,优先Call候选,298.959991,69.52,1.25,0.05226851,0.08025290,0.14434446,67.1,65.17,91.6,62.0,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,缠论K线：老鸭头/黄金坑洗盘: 先有上升颈部 11.4%；回踩靠近 EMA50/60 日线区域；EMA9/26/50 重新转顺；MACD 水上/改善；量能 1.1x；趋势确认：日线EMA9/26/50转顺；MACD水上/柱体改善；RSI可交易区 66.7；extension 2.3ATR；4H确认：EMA26 贴近 EMA50 且斜率向上；4H突破/第三买点确认；EMA 多头延续；MACD 保持多头
5,NVDA,Nvidia,Information Technology,90.99,优先Call候选,230.360001,62.98,0.45,0.01283855,0.05893173,0.05192016,75.1,73.28,100.0,80.0,30.0,100.0,confirmed_bullish_trend,bullish_above_signal,缠论K线：杯柄/上升三角突破: 近0日放量突破整理高点；箱体宽 16.7%；量能 1.0x；趋势确认：日线EMA9/26/50转顺；MACD水上/柱体改善；RSI可交易区 60.4；extension 1.6ATR；4H确认：4H三线翻转确认；4H突破/第三买点确认；EMA 多头延续；MACD 保持多头
6,TCBX,THIRD COAST BANCSHARES INC,Financials,89.78,优先Call候选,46.029999,60.5,2.36,0.02164020,0.02243445,0.04140267,98.2,54.82,100.0,81.2,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,缠论K线：杯柄/上升三角突破: 近0日放量突破整理高点；箱体宽 15.8%；量能 2.2x；趋势确认：日线EMA9/26/50转顺；MACD水上/柱体改善；RSI可交易区 61.7；extension 1.4ATR；4H确认：4H三线翻转确认；4H突破/第三买点确认；EMA9/26 新多头交叉；MACD 新金叉
7,MLYS,MINERALYS THERAPEUTICS,Health Care,89.44,优先Call候选,28.209999,61.41,0.77,-0.02099608,0.10109281,0.04520189,75.1,73.52,74.0,81.2,68.0,100.0,confirmed_bullish_trend,bullish_above_signal,缠论K线：W底/圆弧底/头肩底修复: 前期回撤 -28.7%；低点后抬升 25.4%；10日反转 10.0%；处于60日中上修复区；近期量能抬升 1.6x；趋势确认：日线EMA9/26/50转顺；MACD水上/柱体改善；RSI可交易区 59.7；extension 1.2ATR；4H确认：4H三线翻转确认；4H突破/第三买点确认；EMA 多头延续；MACD 保持多头
8,STNG,SCORPIO TANKERS,Energy,89.42,优先Call候选,82.290001,64.67,2.31,0.02952585,0.05432412,0.07667148,75.1,62.18,100.0,81.2,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,缠论K线：杯柄/上升三角突破: 近0日放量突破整理高点；箱体宽 10.2%；量能 1.3x；趋势确认：日线EMA9/26/50转顺；MACD水上/柱体改善；RSI可交易区 61.3；extension 1.8ATR；4H确认：4H三线翻转确认；4H突破/第三买点确认；EMA 多头延续；MACD 保持多头
9,BIIB,Biogen,Health Care,89.39,优先Call候选,220.830002,55.53,0.69,-0.01503120,0.01070986,0.07022393,50.8,61.55,72.6,81.52,30.0,100.0,mixed_sideways,fresh_bearish_cross,缠论K线：杯柄/上升三角突破: 近1日放量突破整理高点；箱体宽 13.7%；量能 0.7x；趋势确认：日线EMA9/26/50转顺；MACD水上/柱体改善；RSI可交易区 58.0；extension 1.1ATR；4H确认：EMA26 贴近 EMA50 且斜率向上；4H突破/第三买点确认
10,PLMR,PALOMAR HOLDINGS,Financials,89.31,优先Call候选,136.580002,64.38,1.55,0.00205428,0.03603125,-0.00131612,75.1,58.54,81.1,81.2,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,缠论K线：老鸭头/黄金坑洗盘: 先有上升颈部 24.2%；回踩靠近 EMA50/60 日线区域；EMA9/26/50 重新转顺；MACD 水上/改善；量能 1.1x；趋势确认：日线EMA9/26/50转顺；MACD水上/柱体改善；RSI可交易区 58.5；extension 1.2ATR；4H确认：4H三线翻转确认；4H突破/第三买点确认；EMA 多头延续；MACD 保持多头
